Максимальный шаг, при которых РК2 и РK4 совпадают h = 1.869159e-03          
Число узлов n = 535 при данном h
-------------------------------------------------------------
|    x    |        u(z) РК2        |        u(z) РК4        |
| 0.51402 |      3.419415e-07      |      3.419416e-07      |
| 0.51589 |      3.416485e-07      |      3.416486e-07      |
| 0.51776 |      3.413558e-07      |      3.413560e-07      |
| 0.51963 |      3.410634e-07      |      3.410636e-07      |
| 0.52150 |      3.407715e-07      |      3.407716e-07      |
| 0.52336 |      3.404799e-07      |      3.404801e-07      |
| 0.52523 |      3.401887e-07      |      3.401889e-07      |
| 0.52710 |      3.398979e-07      |      3.398981e-07      |
| 0.52897 |      3.396076e-07      |      3.396078e-07      |
| 0.53084 |      3.393178e-07      |      3.393180e-07      |
| 0.53271 |      3.390284e-07      |      3.390286e-07      |
| 0.53458 |      3.387395e-07      |      3.387397e-07      |
| 0.53645 |      3.384512e-07      |      3.384514e-07      |
| 0.53832 |      3.381633e-07      |      3.381635e-07      |
| 0.54019 |      3.378761e-07      |      3.378763e-07      |
| 0.54206 |      3.375894e-07      |      3.375896e-07      |
| 0.54393 |      3.373033e-07      |      3.373035e-07      |
| 0.54579 |      3.370178e-07      |      3.370180e-07      |
| 0.54766 |      3.367329e-07      |      3.367331e-07      |
| 0.54953 |      3.364487e-07      |      3.364489e-07      |
| 0.55140 |      3.361651e-07      |      3.361653e-07      |
| 0.55327 |      3.358823e-07      |      3.358825e-07      |
| 0.55514 |      3.356001e-07      |      3.356003e-07      |
| 0.55701 |      3.353186e-07      |      3.353189e-07      |
| 0.55888 |      3.350379e-07      |      3.350382e-07      |
| 0.56075 |      3.347580e-07      |      3.347582e-07      |
| 0.56262 |      3.344788e-07      |      3.344790e-07      |
| 0.56449 |      3.342004e-07      |      3.342007e-07      |
| 0.56636 |      3.339229e-07      |      3.339231e-07      |
| 0.56822 |      3.336461e-07      |      3.336464e-07      |
| 0.57009 |      3.333703e-07      |      3.333705e-07      |
| 0.57196 |      3.330952e-07      |      3.330955e-07      |
| 0.57383 |      3.328211e-07      |      3.328213e-07      |
| 0.57570 |      3.325479e-07      |      3.325481e-07      |
| 0.57757 |      3.322755e-07      |      3.322758e-07      |
| 0.57944 |      3.320042e-07      |      3.320044e-07      |
| 0.58131 |      3.317337e-07      |      3.317340e-07      |
| 0.58318 |      3.314643e-07      |      3.314645e-07      |
| 0.58505 |      3.311958e-07      |      3.311961e-07      |
| 0.58692 |      3.309283e-07      |      3.309286e-07      |
| 0.58879 |      3.306619e-07      |      3.306621e-07      |
| 0.59065 |      3.303965e-07      |      3.303967e-07      |
| 0.59252 |      3.301321e-07      |      3.301324e-07      |
| 0.59439 |      3.298688e-07      |      3.298691e-07      |
| 0.59626 |      3.296067e-07      |      3.296069e-07      |
| 0.59813 |      3.293456e-07      |      3.293458e-07      |
| 0.60000 |      3.290856e-07      |      3.290858e-07      |
| 0.60187 |      3.288268e-07      |      3.288270e-07      |
| 0.60374 |      3.285691e-07      |      3.285693e-07      |
| 0.60561 |      3.283125e-07      |      3.283128e-07      |
| 0.60748 |      3.280572e-07      |      3.280575e-07      |
| 0.60935 |      3.278031e-07      |      3.278033e-07      |
| 0.61121 |      3.275501e-07      |      3.275504e-07      |
| 0.61308 |      3.272984e-07      |      3.272987e-07      |
| 0.61495 |      3.270480e-07      |      3.270482e-07      |
| 0.61682 |      3.267988e-07      |      3.267990e-07      |
| 0.61869 |      3.265508e-07      |      3.265511e-07      |
| 0.62056 |      3.263042e-07      |      3.263045e-07      |
| 0.62243 |      3.260588e-07      |      3.260591e-07      |
| 0.62430 |      3.258148e-07      |      3.258151e-07      |
| 0.62617 |      3.255721e-07      |      3.255724e-07      |
| 0.62804 |      3.253307e-07      |      3.253310e-07      |
| 0.62991 |      3.250907e-07      |      3.250910e-07      |
| 0.63178 |      3.248520e-07      |      3.248523e-07      |
| 0.63364 |      3.246147e-07      |      3.246150e-07      |
| 0.63551 |      3.243789e-07      |      3.243791e-07      |
| 0.63738 |      3.241444e-07      |      3.241447e-07      |
| 0.63925 |      3.239113e-07      |      3.239116e-07      |
| 0.64112 |      3.236797e-07      |      3.236799e-07      |
| 0.64299 |      3.234495e-07      |      3.234497e-07      |
| 0.64486 |      3.232207e-07      |      3.232210e-07      |
| 0.64673 |      3.229934e-07      |      3.229937e-07      |
| 0.64860 |      3.227676e-07      |      3.227679e-07      |
| 0.65047 |      3.225432e-07      |      3.225435e-07      |
| 0.65234 |      3.223204e-07      |      3.223207e-07      |
| 0.65421 |      3.220991e-07      |      3.220994e-07      |
| 0.65607 |      3.218792e-07      |      3.218795e-07      |
| 0.65794 |      3.216609e-07      |      3.216612e-07      |
| 0.65981 |      3.214442e-07      |      3.214445e-07      |
| 0.66168 |      3.212289e-07      |      3.212292e-07      |
| 0.66355 |      3.210152e-07      |      3.210155e-07      |
| 0.66542 |      3.208031e-07      |      3.208034e-07      |
| 0.66729 |      3.205926e-07      |      3.205929e-07      |
| 0.66916 |      3.203836e-07      |      3.203839e-07      |
| 0.67103 |      3.201762e-07      |      3.201765e-07      |
| 0.67290 |      3.199704e-07      |      3.199707e-07      |
| 0.67477 |      3.197662e-07      |      3.197665e-07      |
| 0.67664 |      3.195636e-07      |      3.195639e-07      |
| 0.67850 |      3.193627e-07      |      3.193630e-07      |
| 0.68037 |      3.191633e-07      |      3.191636e-07      |
| 0.68224 |      3.189656e-07      |      3.189659e-07      |
| 0.68411 |      3.187695e-07      |      3.187698e-07      |
| 0.68598 |      3.185750e-07      |      3.185753e-07      |
| 0.68785 |      3.183822e-07      |      3.183825e-07      |
| 0.68972 |      3.181910e-07      |      3.181913e-07      |
| 0.69159 |      3.180015e-07      |      3.180018e-07      |
| 0.69346 |      3.178137e-07      |      3.178140e-07      |
| 0.69533 |      3.176275e-07      |      3.176278e-07      |
| 0.69720 |      3.174430e-07      |      3.174433e-07      |
| 0.69907 |      3.172601e-07      |      3.172604e-07      |
| 0.70093 |      3.170790e-07      |      3.170793e-07      |
| 0.70280 |      3.168995e-07      |      3.168998e-07      |
| 0.70467 |      3.167217e-07      |      3.167220e-07      |
| 0.70654 |      3.165455e-07      |      3.165459e-07      |
| 0.70841 |      3.163711e-07      |      3.163714e-07      |
| 0.71028 |      3.161984e-07      |      3.161987e-07      |
| 0.71215 |      3.160273e-07      |      3.160276e-07      |
| 0.71402 |      3.158580e-07      |      3.158583e-07      |
| 0.71589 |      3.156903e-07      |      3.156906e-07      |
| 0.71776 |      3.155243e-07      |      3.155246e-07      |
| 0.71963 |      3.153601e-07      |      3.153604e-07      |
| 0.72150 |      3.151975e-07      |      3.151978e-07      |
| 0.72336 |      3.150366e-07      |      3.150369e-07      |
| 0.72523 |      3.148774e-07      |      3.148778e-07      |
| 0.72710 |      3.147200e-07      |      3.147203e-07      |
| 0.72897 |      3.145642e-07      |      3.145645e-07      |
| 0.73084 |      3.144101e-07      |      3.144104e-07      |
| 0.73271 |      3.142577e-07      |      3.142580e-07      |
| 0.73458 |      3.141070e-07      |      3.141074e-07      |
| 0.73645 |      3.139580e-07      |      3.139584e-07      |
| 0.73832 |      3.138107e-07      |      3.138111e-07      |
| 0.74019 |      3.136651e-07      |      3.136654e-07      |
| 0.74206 |      3.135212e-07      |      3.135215e-07      |
| 0.74393 |      3.133790e-07      |      3.133793e-07      |
| 0.74579 |      3.132384e-07      |      3.132387e-07      |
| 0.74766 |      3.130996e-07      |      3.130999e-07      |
| 0.74953 |      3.129624e-07      |      3.129627e-07      |
| 0.75140 |      3.128268e-07      |      3.128271e-07      |
| 0.75327 |      3.126930e-07      |      3.126933e-07      |
| 0.75514 |      3.125608e-07      |      3.125611e-07      |
| 0.75701 |      3.124303e-07      |      3.124306e-07      |
| 0.75888 |      3.123014e-07      |      3.123017e-07      |
| 0.76075 |      3.121742e-07      |      3.121745e-07      |
| 0.76262 |      3.120486e-07      |      3.120489e-07      |
| 0.76449 |      3.119247e-07      |      3.119250e-07      |
| 0.76636 |      3.118024e-07      |      3.118027e-07      |
| 0.76822 |      3.116818e-07      |      3.116821e-07      |
| 0.77009 |      3.115627e-07      |      3.115631e-07      |
| 0.77196 |      3.114453e-07      |      3.114457e-07      |
| 0.77383 |      3.113296e-07      |      3.113299e-07      |
| 0.77570 |      3.112154e-07      |      3.112157e-07      |
| 0.77757 |      3.111028e-07      |      3.111031e-07      |
| 0.77944 |      3.109918e-07      |      3.109921e-07      |
| 0.78131 |      3.108824e-07      |      3.108827e-07      |
| 0.78318 |      3.107746e-07      |      3.107749e-07      |
| 0.78505 |      3.106683e-07      |      3.106687e-07      |
| 0.78692 |      3.105637e-07      |      3.105640e-07      |
| 0.78879 |      3.104606e-07      |      3.104609e-07      |
| 0.79065 |      3.103590e-07      |      3.103593e-07      |
| 0.79252 |      3.102590e-07      |      3.102593e-07      |
| 0.79439 |      3.101605e-07      |      3.101608e-07      |
| 0.79626 |      3.100635e-07      |      3.100638e-07      |
| 0.79813 |      3.099680e-07      |      3.099683e-07      |
| 0.80000 |      3.098741e-07      |      3.098744e-07      |
| 0.80187 |      3.097817e-07      |      3.097820e-07      |
| 0.80374 |      3.096907e-07      |      3.096910e-07      |
| 0.80561 |      3.096012e-07      |      3.096015e-07      |
| 0.80748 |      3.095132e-07      |      3.095135e-07      |
| 0.80935 |      3.094267e-07      |      3.094270e-07      |
