Вариант коэфф-та k: k1
Число узлов n = 1001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
| 0.36300 |      3.652502e-07      |      4.089987e+03      |
| 0.36400 |      3.651094e-07      |      4.099657e+03      |
| 0.36500 |      3.649683e-07      |      4.109305e+03      |
| 0.36600 |      3.648270e-07      |      4.118931e+03      |
| 0.36700 |      3.646853e-07      |      4.128534e+03      |
| 0.36800 |      3.645435e-07      |      4.138114e+03      |
| 0.36900 |      3.644013e-07      |      4.147671e+03      |
| 0.37000 |      3.642589e-07      |      4.157204e+03      |
| 0.37100 |      3.641163e-07      |      4.166715e+03      |
| 0.37200 |      3.639733e-07      |      4.176201e+03      |
| 0.37300 |      3.638302e-07      |      4.185664e+03      |
| 0.37400 |      3.636868e-07      |      4.195103e+03      |
| 0.37500 |      3.635431e-07      |      4.204518e+03      |
| 0.37600 |      3.633992e-07      |      4.213909e+03      |
| 0.37700 |      3.632550e-07      |      4.223275e+03      |
| 0.37800 |      3.631106e-07      |      4.232617e+03      |
| 0.37900 |      3.629660e-07      |      4.241934e+03      |
| 0.38000 |      3.628211e-07      |      4.251226e+03      |
| 0.38100 |      3.626760e-07      |      4.260493e+03      |
| 0.38200 |      3.625306e-07      |      4.269734e+03      |
| 0.38300 |      3.623850e-07      |      4.278950e+03      |
| 0.38400 |      3.622392e-07      |      4.288141e+03      |
| 0.38500 |      3.620931e-07      |      4.297305e+03      |
| 0.38600 |      3.619468e-07      |      4.306444e+03      |
| 0.38700 |      3.618003e-07      |      4.315556e+03      |
| 0.38800 |      3.616536e-07      |      4.324642e+03      |
| 0.38900 |      3.615066e-07      |      4.333702e+03      |
| 0.39000 |      3.613594e-07      |      4.342734e+03      |
| 0.39100 |      3.612120e-07      |      4.351740e+03      |
| 0.39200 |      3.610644e-07      |      4.360719e+03      |
| 0.39300 |      3.609165e-07      |      4.369671e+03      |
| 0.39400 |      3.607685e-07      |      4.378595e+03      |
| 0.39500 |      3.606202e-07      |      4.387492e+03      |
| 0.39600 |      3.604717e-07      |      4.396360e+03      |
| 0.39700 |      3.603230e-07      |      4.405201e+03      |
| 0.39800 |      3.601741e-07      |      4.414014e+03      |
| 0.39900 |      3.600250e-07      |      4.422798e+03      |
| 0.40000 |      3.598757e-07      |      4.431554e+03      |
| 0.40100 |      3.597262e-07      |      4.440282e+03      |
| 0.40200 |      3.595765e-07      |      4.448980e+03      |
| 0.40300 |      3.594266e-07      |      4.457649e+03      |
| 0.40400 |      3.592765e-07      |      4.466289e+03      |
| 0.40500 |      3.591262e-07      |      4.474900e+03      |
| 0.40600 |      3.589757e-07      |      4.483481e+03      |
| 0.40700 |      3.588250e-07      |      4.492033e+03      |
| 0.40800 |      3.586742e-07      |      4.500554e+03      |
| 0.40900 |      3.585231e-07      |      4.509045e+03      |
| 0.41000 |      3.583719e-07      |      4.517506e+03      |
| 0.41100 |      3.582205e-07      |      4.525937e+03      |
| 0.41200 |      3.580689e-07      |      4.534337e+03      |
| 0.41300 |      3.579171e-07      |      4.542705e+03      |
| 0.41400 |      3.577652e-07      |      4.551043e+03      |
| 0.41500 |      3.576131e-07      |      4.559350e+03      |
| 0.41600 |      3.574608e-07      |      4.567625e+03      |
| 0.41700 |      3.573084e-07      |      4.575869e+03      |
| 0.41800 |      3.571557e-07      |      4.584081e+03      |
| 0.41900 |      3.570030e-07      |      4.592261e+03      |
| 0.42000 |      3.568500e-07      |      4.600409e+03      |
| 0.42100 |      3.566969e-07      |      4.608525e+03      |
| 0.42200 |      3.565437e-07      |      4.616608e+03      |
| 0.42300 |      3.563903e-07      |      4.624658e+03      |
| 0.42400 |      3.562367e-07      |      4.632676e+03      |
| 0.42500 |      3.560830e-07      |      4.640660e+03      |
| 0.42600 |      3.559292e-07      |      4.648611e+03      |
| 0.42700 |      3.557752e-07      |      4.656529e+03      |
| 0.42800 |      3.556210e-07      |      4.664413e+03      |
| 0.42900 |      3.554667e-07      |      4.672264e+03      |
| 0.43000 |      3.553123e-07      |      4.680080e+03      |
| 0.43100 |      3.551577e-07      |      4.687863e+03      |
| 0.43200 |      3.550031e-07      |      4.695611e+03      |
| 0.43300 |      3.548482e-07      |      4.703325e+03      |
| 0.43400 |      3.546933e-07      |      4.711003e+03      |
| 0.43500 |      3.545382e-07      |      4.718647e+03      |
| 0.43600 |      3.543830e-07      |      4.726256e+03      |
| 0.43700 |      3.542277e-07      |      4.733830e+03      |
| 0.43800 |      3.540722e-07      |      4.741369e+03      |
| 0.43900 |      3.539166e-07      |      4.748871e+03      |
| 0.44000 |      3.537610e-07      |      4.756338e+03      |
| 0.44100 |      3.536052e-07      |      4.763769e+03      |
| 0.44200 |      3.534493e-07      |      4.771164e+03      |
| 0.44300 |      3.532933e-07      |      4.778523e+03      |
| 0.44400 |      3.531371e-07      |      4.785845e+03      |
| 0.44500 |      3.529809e-07      |      4.793131e+03      |
| 0.44600 |      3.528246e-07      |      4.800379e+03      |
| 0.44700 |      3.526682e-07      |      4.807591e+03      |
| 0.44800 |      3.525117e-07      |      4.814765e+03      |
| 0.44900 |      3.523551e-07      |      4.821902e+03      |
| 0.45000 |      3.521984e-07      |      4.829002e+03      |
| 0.45100 |      3.520416e-07      |      4.836064e+03      |
| 0.45200 |      3.518847e-07      |      4.843087e+03      |
| 0.45300 |      3.517278e-07      |      4.850073e+03      |
| 0.45400 |      3.515707e-07      |      4.857021e+03      |
| 0.45500 |      3.514136e-07      |      4.863930e+03      |
| 0.45600 |      3.512564e-07      |      4.870800e+03      |
| 0.45700 |      3.510992e-07      |      4.877632e+03      |
| 0.45800 |      3.509418e-07      |      4.884424e+03      |
| 0.45900 |      3.507844e-07      |      4.891178e+03      |
| 0.46000 |      3.506270e-07      |      4.897892e+03      |
| 0.46100 |      3.504694e-07      |      4.904567e+03      |
| 0.46200 |      3.503119e-07      |      4.911202e+03      |
| 0.46300 |      3.501542e-07      |      4.917797e+03      |
| 0.46400 |      3.499965e-07      |      4.924352e+03      |
| 0.46500 |      3.498388e-07      |      4.930867e+03      |
| 0.46600 |      3.496810e-07      |      4.937342e+03      |
| 0.46700 |      3.495231e-07      |      4.943776e+03      |
| 0.46800 |      3.493652e-07      |      4.950170e+03      |
| 0.46900 |      3.492073e-07      |      4.956523e+03      |
| 0.47000 |      3.490493e-07      |      4.962834e+03      |
| 0.47100 |      3.488913e-07      |      4.969105e+03      |
| 0.47200 |      3.487333e-07      |      4.975334e+03      |
| 0.47300 |      3.485752e-07      |      4.981522e+03      |
