Вариант коэфф-та k: k1
Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.14500 |      3.762552e-07      |      1.701754e+03      |      1.678386e+03      |
| 0.14600 |      3.761940e-07      |      1.713465e+03      |      1.713465e+03      |
| 0.14700 |      3.761324e-07      |      1.725175e+03      |      1.701809e+03      |
| 0.14800 |      3.760704e-07      |      1.736884e+03      |      1.736885e+03      |
| 0.14900 |      3.760079e-07      |      1.748592e+03      |      1.725228e+03      |
| 0.15000 |      3.759451e-07      |      1.760298e+03      |      1.760299e+03      |
| 0.15100 |      3.758818e-07      |      1.772004e+03      |      1.748641e+03      |
| 0.15200 |      3.758181e-07      |      1.783707e+03      |      1.783708e+03      |
| 0.15300 |      3.757540e-07      |      1.795410e+03      |      1.772050e+03      |
| 0.15400 |      3.756894e-07      |      1.807111e+03      |      1.807111e+03      |
| 0.15500 |      3.756245e-07      |      1.818810e+03      |      1.795452e+03      |
| 0.15600 |      3.755591e-07      |      1.830508e+03      |      1.830509e+03      |
| 0.15700 |      3.754933e-07      |      1.842205e+03      |      1.818849e+03      |
| 0.15800 |      3.754271e-07      |      1.853900e+03      |      1.853900e+03      |
| 0.15900 |      3.753605e-07      |      1.865593e+03      |      1.842240e+03      |
| 0.16000 |      3.752935e-07      |      1.877285e+03      |      1.877285e+03      |
| 0.16100 |      3.752261e-07      |      1.888975e+03      |      1.865625e+03      |
| 0.16200 |      3.751582e-07      |      1.900663e+03      |      1.900663e+03      |
| 0.16300 |      3.750899e-07      |      1.912349e+03      |      1.889003e+03      |
| 0.16400 |      3.750212e-07      |      1.924034e+03      |      1.924035e+03      |
| 0.16500 |      3.749521e-07      |      1.935717e+03      |      1.912374e+03      |
| 0.16600 |      3.748826e-07      |      1.947398e+03      |      1.947399e+03      |
| 0.16700 |      3.748126e-07      |      1.959077e+03      |      1.935738e+03      |
| 0.16800 |      3.747423e-07      |      1.970754e+03      |      1.970755e+03      |
| 0.16900 |      3.746715e-07      |      1.982429e+03      |      1.959094e+03      |
| 0.17000 |      3.746003e-07      |      1.994102e+03      |      1.994103e+03      |
| 0.17100 |      3.745287e-07      |      2.005773e+03      |      1.982442e+03      |
| 0.17200 |      3.744567e-07      |      2.017442e+03      |      2.017443e+03      |
| 0.17300 |      3.743843e-07      |      2.029109e+03      |      2.005782e+03      |
| 0.17400 |      3.743114e-07      |      2.040774e+03      |      2.040774e+03      |
| 0.17500 |      3.742382e-07      |      2.052436e+03      |      2.029113e+03      |
| 0.17600 |      3.741645e-07      |      2.064096e+03      |      2.064096e+03      |
| 0.17700 |      3.740904e-07      |      2.075753e+03      |      2.052435e+03      |
| 0.17800 |      3.740159e-07      |      2.087408e+03      |      2.087409e+03      |
| 0.17900 |      3.739410e-07      |      2.099061e+03      |      2.075748e+03      |
| 0.18000 |      3.738657e-07      |      2.110711e+03      |      2.110712e+03      |
| 0.18100 |      3.737900e-07      |      2.122359e+03      |      2.099051e+03      |
| 0.18200 |      3.737138e-07      |      2.134004e+03      |      2.134005e+03      |
| 0.18300 |      3.736372e-07      |      2.145646e+03      |      2.122344e+03      |
| 0.18400 |      3.735603e-07      |      2.157286e+03      |      2.157287e+03      |
| 0.18500 |      3.734829e-07      |      2.168923e+03      |      2.145626e+03      |
| 0.18600 |      3.734051e-07      |      2.180557e+03      |      2.180558e+03      |
| 0.18700 |      3.733269e-07      |      2.192189e+03      |      2.168897e+03      |
| 0.18800 |      3.732483e-07      |      2.203817e+03      |      2.203818e+03      |
| 0.18900 |      3.731692e-07      |      2.215442e+03      |      2.192157e+03      |
| 0.19000 |      3.730898e-07      |      2.227065e+03      |      2.227066e+03      |
| 0.19100 |      3.730099e-07      |      2.238684e+03      |      2.215406e+03      |
| 0.19200 |      3.729297e-07      |      2.250300e+03      |      2.250301e+03      |
| 0.19300 |      3.728490e-07      |      2.261914e+03      |      2.238642e+03      |
| 0.19400 |      3.727679e-07      |      2.273523e+03      |      2.273524e+03      |
| 0.19500 |      3.726865e-07      |      2.285130e+03      |      2.261865e+03      |
| 0.19600 |      3.726046e-07      |      2.296733e+03      |      2.296734e+03      |
| 0.19700 |      3.725222e-07      |      2.308333e+03      |      2.285076e+03      |
| 0.19800 |      3.724395e-07      |      2.319929e+03      |      2.319930e+03      |
| 0.19900 |      3.723564e-07      |      2.331522e+03      |      2.308272e+03      |
| 0.20000 |      3.722729e-07      |      2.343111e+03      |      2.343113e+03      |
| 0.20100 |      3.721889e-07      |      2.354697e+03      |      2.331455e+03      |
| 0.20200 |      3.721046e-07      |      2.366279e+03      |      2.366280e+03      |
| 0.20300 |      3.720198e-07      |      2.377857e+03      |      2.354623e+03      |
| 0.20400 |      3.719347e-07      |      2.389431e+03      |      2.389432e+03      |
| 0.20500 |      3.718491e-07      |      2.401002e+03      |      2.377777e+03      |
| 0.20600 |      3.717631e-07      |      2.412568e+03      |      2.412569e+03      |
| 0.20700 |      3.716768e-07      |      2.424131e+03      |      2.400914e+03      |
| 0.20800 |      3.715900e-07      |      2.435689e+03      |      2.435690e+03      |
| 0.20900 |      3.715028e-07      |      2.447243e+03      |      2.424036e+03      |
| 0.21000 |      3.714152e-07      |      2.458793e+03      |      2.458794e+03      |
