Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.59500 |      3.304869e-07      |      5.430553e+03      |      5.323877e+03      |
| 0.60000 |      3.297812e-07      |      5.433513e+03      |      5.370061e+03      |
| 0.60500 |      3.290832e-07      |      5.435217e+03      |      5.325680e+03      |
| 0.61000 |      3.283935e-07      |      5.435673e+03      |      5.366008e+03      |
| 0.61500 |      3.277121e-07      |      5.434888e+03      |      5.322382e+03      |
| 0.62000 |      3.270394e-07      |      5.432875e+03      |      5.356913e+03      |
| 0.62500 |      3.263758e-07      |      5.429646e+03      |      5.314058e+03      |
| 0.63000 |      3.257214e-07      |      5.425214e+03      |      5.342881e+03      |
| 0.63500 |      3.250765e-07      |      5.419596e+03      |      5.300811e+03      |
| 0.64000 |      3.244414e-07      |      5.412809e+03      |      5.324043e+03      |
| 0.64500 |      3.238163e-07      |      5.404873e+03      |      5.282771e+03      |
| 0.65000 |      3.232015e-07      |      5.395811e+03      |      5.300559e+03      |
| 0.65500 |      3.225971e-07      |      5.385643e+03      |      5.260097e+03      |
| 0.66000 |      3.220034e-07      |      5.374397e+03      |      5.272618e+03      |
| 0.66500 |      3.214206e-07      |      5.362099e+03      |      5.232974e+03      |
| 0.67000 |      3.208487e-07      |      5.348777e+03      |      5.240434e+03      |
| 0.67500 |      3.202882e-07      |      5.334461e+03      |      5.201616e+03      |
| 0.68000 |      3.197389e-07      |      5.319184e+03      |      5.204250e+03      |
| 0.68500 |      3.192012e-07      |      5.302979e+03      |      5.166262e+03      |
| 0.69000 |      3.186751e-07      |      5.285882e+03      |      5.164329e+03      |
| 0.69500 |      3.181607e-07      |      5.267929e+03      |      5.127175e+03      |
| 0.70000 |      3.176582e-07      |      5.249158e+03      |      5.120960e+03      |
| 0.70500 |      3.171677e-07      |      5.229610e+03      |      5.084641e+03      |
| 0.71000 |      3.166891e-07      |      5.209325e+03      |      5.074451e+03      |
| 0.71500 |      3.162226e-07      |      5.188345e+03      |      5.038966e+03      |
| 0.72000 |      3.157682e-07      |      5.166715e+03      |      5.025128e+03      |
| 0.72500 |      3.153260e-07      |      5.144478e+03      |      4.990472e+03      |
| 0.73000 |      3.148958e-07      |      5.121680e+03      |      4.973330e+03      |
| 0.73500 |      3.144779e-07      |      5.098368e+03      |      4.939498e+03      |
| 0.74000 |      3.140721e-07      |      5.074589e+03      |      4.919405e+03      |
| 0.74500 |      3.136784e-07      |      5.050390e+03      |      4.886389e+03      |
| 0.75000 |      3.132968e-07      |      5.025821e+03      |      4.863710e+03      |
| 0.75500 |      3.129272e-07      |      5.000929e+03      |      4.831500e+03      |
| 0.76000 |      3.125696e-07      |      4.975764e+03      |      4.806601e+03      |
| 0.76500 |      3.122239e-07      |      4.950376e+03      |      4.775185e+03      |
